"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CKTCEUS","197907","126.688","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197908","127.473","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197909","114.075","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197910","116.722","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197911","116.83","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197912","127.919","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197913","1427.458","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198001","132.361","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198002","123.941","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198003","122.068","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198004","109.239","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198005","109.468","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198006","115.875","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198007","129.853","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198008","129.237","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198009","118.061","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198010","114.983","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198011","117.553","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198012","131.153","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198013","1453.794","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198101","138.765","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198102","122.747","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198103","123.312","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198104","112.3","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198105","112.904","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198106","121.761","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198107","138.233","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198108","135.249","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198109","122.59","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198110","121.33","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198111","120.725","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198112","133.019","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198113","1502.932","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198201","141.254","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198202","122.935","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198203","119.706","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198204","109.654","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198205","112.512","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198206","114.473","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198207","130.335","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198208","129.924","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198209","115.932","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198210","112.716","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198211","116.361","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198212","123.28","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198213","1449.085","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198301","128.651","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198302","111.824","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198303","113.21","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198304","108.077","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198305","111.084","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198306","118.811","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198307","141.641","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198308","148.733","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198309","129.32","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198310","123.714","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198311","125.687","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198312","144.04","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198313","1504.796","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198401","147.062","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
