YYYYMM,Value,Column_Order,Description,Unit
199813,1191.317,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199913,1196.935,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200013,1246.05,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200113,1191.76,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200213,1231.527,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200313,1195.381,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200413,1200.931,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200513,1182.466,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200613,1169.696,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200713,1245.158,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200813,1254.522,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200913,1233.39,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201013,1292.438,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201113,1312.328,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201213,1371.561,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201313,1408.38,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201413,1437.536,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201513,1478.884,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201613,1489.851,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201713,1470.964,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201813,1626.411,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201913,1684.008,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
202013,1646.691,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197313,5.769,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
197413,5.659,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
197513,4.909,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
197613,4.663,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
197713,4.862,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
197813,4.94,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
197913,4.861,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
198013,4.449,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
198113,3.89,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
198213,3.248,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
198313,3.296,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
198413,3.034,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
198513,3.479,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
198613,4.074,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
198713,3.155,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
198813,3.387,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
198913,3.29,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
199013,3.11,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
199113,2.884,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
199213,2.838,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
199313,2.654,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
199413,2.637,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
199513,2.737,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
199613,2.583,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
199713,2.745,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
199813,2.454,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
199913,2.708,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
200013,2.509,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
200113,2.415,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
200213,2.332,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
200313,2.089,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
200413,2.16,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
200513,2.445,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
200613,2.312,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
200713,2.184,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
200813,1.955,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
200913,1.836,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
201013,1.87,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
201113,1.871,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
201213,1.737,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
201313,1.546,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
201413,1.5,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
201513,1.462,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
201613,1.415,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
201713,1.449,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
201813,1.549,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
201913,1.617,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
202013,1.397,3,Aviation Gasoline CO2 Emissions,Million Metric Tons of Carbon Dioxide
197313,485.041,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197413,462.397,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197513,447.176,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197613,492.737,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197713,525.595,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197813,538.161,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197913,519.151,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198013,450.809,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198113,443.648,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198213,418.891,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198313,422.074,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198413,447.566,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198513,450.052,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198613,457.304,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198713,467.087,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198813,491.933,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198913,496.116,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199013,474.693,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199113,459.003,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199213,469.418,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199313,477.932,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199413,496.554,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199513,503.523,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199613,529.879,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199713,539.456,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199813,543.29,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199913,560.665,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200013,592.241,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200113,609.478,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200213,598.269,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200313,622.551,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200413,645.637,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200513,652.7,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200613,657.614,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200713,657.079,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200813,619.032,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200913,562.744,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201013,590.974,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201113,600.258,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201213,576.76,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201313,581.181,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201413,614.182,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201513,606.135,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201613,583.06,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201713,590.91,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201813,626.456,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201913,620.825,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
202013,572.237,4,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197313,79.505,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
197413,76.534,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
197513,72.811,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
197613,75.004,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
197713,73.716,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
197813,71.153,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
197913,81.825,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
198013,77.989,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
198113,77.888,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
198213,79.252,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
198313,73.556,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
198413,79.814,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
198513,81.859,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
198613,78.984,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
198713,80.8,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
198813,83.968,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
198913,82.597,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
199013,74.824,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
199113,80.255,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
199213,85.611,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
199313,86.068,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
199413,90.053,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
199513,89.877,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
199613,96.816,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
199713,94.966,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
199813,85.749,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
199913,101.533,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
200013,105.914,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
200113,95.797,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
200213,97.385,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
200313,95.235,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
200413,96.019,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
200513,91.61,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
200613,86.008,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
200713,89.571,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
200813,88.541,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
200913,85.962,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
201013,84.211,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
201113,78.678,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
201213,75.383,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
201313,84.899,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
201413,85.872,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
201513,86.192,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
201613,83.013,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
201713,85.414,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
201813,97.637,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
201913,105.131,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
202013,103.624,5,Hydrocarbon Gas Liquids CO2 Emissions,Million Metric Tons of Carbon Dioxide
197313,154.162,6,Jet Fuel CO2 Emissions,Million Metric Tons of Carbon Dioxide
197413,144.427,6,Jet Fuel CO2 Emissions,Million Metric Tons of Carbon Dioxide
197513,145.616,6,Jet Fuel CO2 Emissions,Million Metric Tons of Carbon Dioxide
197613,144.116,6,Jet Fuel CO2 Emissions,Million Metric Tons of Carbon Dioxide
197713,151.264,6,Jet Fuel CO2 Emissions,Million Metric Tons of Carbon Dioxide
197813,153.919,6,Jet Fuel CO2 Emissions,Million Metric Tons of Carbon Dioxide
197913,156.752,6,Jet Fuel CO2 Emissions,Million Metric Tons of Carbon Dioxide
198013,155.811,6,Jet Fuel CO2 Emissions,Million Metric Tons of Carbon Dioxide
198113,146.691,6,Jet Fuel CO2 Emissions,Million Metric Tons of Carbon Dioxide
198213,147.354,6,Jet Fuel CO2 Emissions,Million Metric Tons of Carbon Dioxide
